id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1950079250700419322,"@Md_Sadiq_Md painadi book perey ""mirvs with go""... but nu java guy kada... avoid changing tech stack",https://x.com/CoderUday/status/1950079250700419322,tweet,Uday,@CoderUday,1,0,0,1,140,0,2025-07-29 11:51:38,,
1950069903626473573,"I believe Software engineers must

-Not take loans/EMIs
-Marry a working partner (wife)
-Invest more (land is preferred)
-Never stop upskilling
-Stop posting abt ur 50LPA to avoid nazar/dhisti
-Do cardio (when laid off - to avoid heart attack)

comment if I missed anything",https://x.com/CoderUday/status/1950069903626473573,tweet,Uday,@CoderUday,243,28,375,5145,292221,899,2025-07-29 11:14:30,,
1950051666532717042,"@UAkash339942 concentrate on office work &amp; skills needed in office ,.. for 1 year... learn everything. it helps a lot in interviews",https://x.com/CoderUday/status/1950051666532717042,tweet,Uday,@CoderUday,0,0,0,0,1,0,2025-07-29 10:02:02,,
1950048286443794797,@lucifer__exe Normal ga I sleep b/w 2 to 8 .. inka njdrosthey evening 6 to 7 power nap.. total 7 hours,https://x.com/CoderUday/status/1950048286443794797,tweet,Uday,@CoderUday,0,0,0,1,45,0,2025-07-29 09:48:36,,
1950048023184290200,@lucifer__exe Yevartho?,https://x.com/CoderUday/status/1950048023184290200,tweet,Uday,@CoderUday,1,0,0,3,154,0,2025-07-29 09:47:33,,
1949929889227804773,"Day 21:
Microservices with Go: Unit &amp; Integration Testing and Testing best practices

GYM: Aerobics",https://x.com/CoderUday/status/1949929889227804773,tweet,Uday,@CoderUday,5,1,0,46,6497,3,2025-07-29 01:58:08,,
1949565211121176817,"Day 20:

Microservices with Go (Book): Serialization, Synchronous Communication (gRPC), Asynchronous Communication, Persistence &amp; Databases",https://x.com/CoderUday/status/1949565211121176817,tweet,Uday,@CoderUday,3,1,4,85,8711,14,2025-07-28 01:49:02,,
1949512585625153954,"@imraj4_u If there are no Software engineers, who will pay their rent? https://t.co/CHkYkWGpNm",https://x.com/CoderUday/status/1949512585625153954,tweet,Uday,@CoderUday,1,0,2,121,18,2,2025-07-27 22:19:55,https://pbs.twimg.com/media/Gw4PNaEbAAAR6yy.png,
1949503689296880095,"Yesterday Intel laid off 24,000 employees
Today, TCS laying off 12,000 employees...

I hope all these people have savings to pay EMIs, pay rent, pay for children's education &amp; money to meet their basic needs

May God not give this situation to anyone...even to my enemies🙏🙏 https://t.co/A9zSpUvly7",https://x.com/CoderUday/status/1949503689296880095,tweet,Uday,@CoderUday,49,17,165,2000,76557,147,2025-07-27 21:44:34,https://pbs.twimg.com/media/Gw4FbVxbYAAvIx8.png,
1949365540361003043,@nirbhaysingh281 What made u believe that loosing jobs will not crash stock market?,https://x.com/CoderUday/status/1949365540361003043,tweet,Uday,@CoderUday,2,0,0,32,1926,0,2025-07-27 12:35:36,,
